time,open,high,low,close
1702119420000,2362.17,2362.17,2360.42,2361.56
1702119480000,2361.53,2361.53,2359.27,2359.96
1702119540000,2359.82,2360.4,2359.73,2360.4
1702119600000,2360.17,2361.02,2358.46,2358.94
1702119660000,2359.26,2361.73,2359.26,2361.73
1702119720000,2361.47,2361.47,2359.56,2359.94
1702119780000,2360.03,2360.06,2357.92,2358.51
1702119840000,2358.51,2359.5,2357.15,2358.2
1702119900000,2358.05,2359.28,2355.97,2356.53
1702119960000,2356.73,2358.86,2356.27,2356.39
1702120020000,2356.33,2358.38,2356.28,2358.04
1702120080000,2358.03,2358.8,2357.1,2357.54
1702120140000,2357.54,2358.9,2357.12,2357.99
1702120200000,2357.51,2357.99,2354.76,2355.78
1702120260000,2355.72,2356.7,2355.72,2356.07
1702120320000,2356.07,2356.53,2356.07,2356.07
1702120380000,2356.53,2356.53,2353.94,2355
1702120440000,2353.96,2355.87,2353.79,2353.93
1702120500000,2353.82,2355.02,2352.82,2353.3
1702120560000,2355.02,2355.02,2352.32,2352.82
1702120620000,2352.98,2355.1,2352.53,2353.38
1702120680000,2355.02,2355.02,2353.4,2354.95
1702120740000,2354.8,2355.02,2353.66,2354.41
1702120800000,2353.77,2355.02,2353.54,2353.55
1702120860000,2353.55,2355.01,2353.55,2354.63
1702120920000,2354,2355.02,2353.36,2354.06
1702120980000,2353.63,2355.02,2353.16,2353.29
1702121040000,2353.27,2355.02,2352.67,2353.3
1702121100000,2353.24,2354.31,2352.62,2352.94
1702121160000,2354.31,2355.07,2352.94,2353.8
1702121220000,2353.81,2354.8,2352.9,2353.79
1702121280000,2353.12,2353.79,2352.25,2352.4
1702121340000,2352.4,2353.79,2348.4,2350.79
1702121400000,2350.79,2352.47,2350.75,2351.02
1702121460000,2351,2352.05,2349.84,2351.81
1702121520000,2351.84,2355.8,2351.05,2355.41
1702121580000,2355.4,2356,2353.93,2354.2
1702121640000,2354.25,2354.4,2352.1,2352.76
1702121700000,2353.17,2353.18,2351.53,2351.66
1702121760000,2351.66,2353.6,2351.55,2353.29
1702121820000,2353.11,2354.8,2353.11,2354.33
1702121880000,2354.33,2355.6,2352.53,2353.33
1702121940000,2353.45,2354.5,2352.66,2354.3
1702122000000,2353.87,2356,2353.03,2355.4
1702122060000,2354.63,2356.7,2353.55,2355.2
